method,display,family,macro_auprc,gmr_bidir_macro_auprc,mean_delta_vs_gmr,ci_low,ci_high,p_gmr_greater,n,wins_vs_gmr,ties_vs_gmr,losses_vs_gmr,paper_display
GBO,GBO,Local Gaussian oversampling,0.5449459416750667,0.548506162341406,-0.0035602206663393142,-0.007491180658351457,0.0003707393256728287,0.49366291978332916,1750,866,69,815,True
GeometricSMOTE,Geometric SMOTE,Geometric oversampling,0.5443999317164002,0.548506162341406,-0.004106230625005947,-0.007359386440064047,-0.0008530748099478472,0.011594511822795198,1750,819,78,853,True
SimplicialSMOTE,Simplicial SMOTE,Higher-order oversampling,0.536662248275351,0.548506162341406,-0.011843914066055082,-0.015599323486147093,-0.008088504645963071,4.684740275560787e-10,1750,755,79,916,True
NaNSMOTE,NaNSMOTE,Natural-neighbor oversampling,0.5353363321483922,0.548506162341406,-0.013169830193013854,-0.01677428973808762,-0.009565370647940087,5.300431868028232e-11,1750,763,84,903,True
SMOTERkNN,SMOTE-RkNN,Noise-filtered oversampling,0.535287541437331,0.548506162341406,-0.013218620904075003,-0.016730742291736045,-0.009706499516413959,3.632618669989361e-13,1750,739,74,937,True
MWMOTE,MWMOTE,Weighted oversampling,0.533297973666751,0.548506162341406,-0.01520818867465493,-0.018931818321610675,-0.011484559027699185,3.784014616559583e-21,1750,675,73,1002,True
LoRAS,LoRAS,Shadow oversampling,0.5313333021074786,0.548506162341406,-0.017172860233927452,-0.021108597761808318,-0.013237122706046586,5.398702267239701e-19,1750,696,63,991,True
LSR,LSR,Reweighting,0.5125804735666719,0.548506162341406,-0.035925688774733996,-0.03981964739066079,-0.032031730158807205,3.915361139482125e-83,1750,461,80,1209,True
SPU,SPU,Self-paced undersampling,0.2825640542429832,0.548506162341406,-0.26594210809842284,-0.27607412771938583,-0.25581008847745984,1.781172569314818e-279,1750,70,1,1679,True
